,Platz,Team,Spiele,S,U,N,Tore,G,A,Diff,Punkte,Year
0,1,Bayern München,34,19,6,9,62:37,62,37,25,63,2000-01
1,2,FC Schalke 04,34,18,8,8,65:35,65,35,30,62,2000-01
2,3,Borussia Dortmund,34,16,10,8,62:42,62,42,20,58,2000-01
3,4,Bayer 04 Leverkusen,34,17,6,11,54:40,54,40,14,57,2000-01
4,5,Hertha BSC,34,18,2,14,58:52,58,52,6,56,2000-01
5,6,SC Freiburg,34,15,10,9,54:37,54,37,17,55,2000-01
6,7,Werder Bremen,34,15,8,11,53:48,53,48,5,53,2000-01
7,8,1. FC Kaiserslautern,34,15,5,14,49:54,49,54,-5,50,2000-01
8,9,VfL Wolfsburg,34,12,11,11,60:45,60,45,15,47,2000-01
9,10,1. FC Köln,34,12,10,12,59:52,59,52,7,46,2000-01
10,11,TSV 1860 München,34,12,8,14,43:55,43,55,-12,44,2000-01
11,12,Hansa Rostock,34,12,7,15,34:47,34,47,-13,43,2000-01
12,13,Hamburger SV,34,10,11,13,58:58,58,58,0,41,2000-01
13,14,Energie Cottbus,34,12,3,19,38:52,38,52,-14,39,2000-01
14,15,VfB Stuttgart,34,9,11,14,42:49,42,49,-7,38,2000-01
15,16,SpVgg Unterhaching,34,8,11,15,35:59,35,59,-24,35,2000-01
16,17,Eintracht Frankfurt,34,10,5,19,41:68,41,68,-27,35,2000-01
17,18,VfL Bochum,34,7,6,21,30:67,30,67,-37,27,2000-01
18,1,Borussia Dortmund,34,21,7,6,62:33,62,33,29,70,2001-02
19,2,Bayer 04 Leverkusen,34,21,6,7,77:38,77,38,39,69,2001-02
20,3,Bayern München,34,20,8,6,65:25,65,25,40,68,2001-02
21,4,Hertha BSC,34,18,7,9,61:38,61,38,23,61,2001-02
22,5,FC Schalke 04,34,18,7,9,52:36,52,36,16,61,2001-02
23,6,Werder Bremen,34,17,5,12,54:43,54,43,11,56,2001-02
24,7,1. FC Kaiserslautern,34,17,5,12,62:53,62,53,9,56,2001-02
25,8,VfB Stuttgart,34,13,11,10,47:43,47,43,4,50,2001-02
26,9,TSV 1860 München,34,15,5,14,59:59,59,59,0,50,2001-02
27,10,VfL Wolfsburg,34,13,7,14,57:49,57,49,8,46,2001-02
28,11,Hamburger SV,34,10,10,14,51:57,51,57,-6,40,2001-02
29,12,Bor. Mönchengladbach,34,9,12,13,41:53,41,53,-12,39,2001-02
30,13,Energie Cottbus,34,9,8,17,36:60,36,60,-24,35,2001-02
31,14,Hansa Rostock,34,9,7,18,35:54,35,54,-19,34,2001-02
32,15,1. FC Nürnberg,34,10,4,20,34:57,34,57,-23,34,2001-02
33,16,SC Freiburg,34,7,9,18,37:64,37,64,-27,30,2001-02
34,17,1. FC Köln,34,7,8,19,26:61,26,61,-35,29,2001-02
35,18,FC St. Pauli,34,4,10,20,37:70,37,70,-33,22,2001-02
36,1,Bayern München,34,23,6,5,70:25,70,25,45,75,2002-03
37,2,VfB Stuttgart,34,17,8,9,53:39,53,39,14,59,2002-03
38,3,Borussia Dortmund,34,15,13,6,51:27,51,27,24,58,2002-03
39,4,Hamburger SV,34,15,11,8,46:36,46,36,10,56,2002-03
40,5,Hertha BSC,34,16,6,12,52:43,52,43,9,54,2002-03
41,6,Werder Bremen,34,16,4,14,51:50,51,50,1,52,2002-03
42,7,FC Schalke 04,34,12,13,9,46:40,46,40,6,49,2002-03
43,8,VfL Wolfsburg,34,13,7,14,39:42,39,42,-3,46,2002-03
44,9,VfL Bochum,34,12,9,13,55:56,55,56,-1,45,2002-03
45,10,TSV 1860 München,34,12,9,13,44:52,44,52,-8,45,2002-03
46,11,Hannover 96,34,12,7,15,47:57,47,57,-10,43,2002-03
47,12,Bor. Mönchengladbach,34,11,9,14,43:45,43,45,-2,42,2002-03
48,13,Hansa Rostock,34,11,8,15,35:41,35,41,-6,41,2002-03
