,Platz,Team,Spiele,S,U,N,Tore,G,A,Diff,Punkte,Year
414,1,Bayer 04 Leverkusen,21,17,4,0,55:14,55,14,41,55,2023-24
415,2,Bayern München,21,16,2,3,59:22,59,22,37,50,2023-24
416,3,VfB Stuttgart,21,14,1,6,49:27,49,27,22,43,2023-24
417,4,Borussia Dortmund,21,11,7,3,43:26,43,26,17,40,2023-24
418,5,RB Leipzig,21,11,4,6,46:28,46,28,18,37,2023-24
419,6,Eintracht Frankfurt,21,8,8,5,31:25,31,25,6,32,2023-24
420,7,SC Freiburg,21,8,4,9,26:37,26,37,-11,28,2023-24
421,8,TSG Hoffenheim,21,7,6,8,38:40,38,40,-2,27,2023-24
422,9,1. FC Heidenheim,21,7,6,8,30:36,30,36,-6,27,2023-24
423,10,Werder Bremen,21,7,5,9,30:34,30,34,-4,26,2023-24
424,11,FC Augsburg,21,5,8,8,31:39,31,39,-8,23,2023-24
425,12,VfL Wolfsburg,21,6,5,10,25:33,25,33,-8,23,2023-24
426,13,Bor. Mönchengladbach,21,5,7,9,36:41,36,41,-5,22,2023-24
427,14,VfL Bochum,21,4,10,7,23:39,23,39,-16,22,2023-24
428,15,1. FC Union Berlin,21,6,3,12,20:35,20,35,-15,21,2023-24
429,16,1. FC Köln,21,3,7,11,15:35,15,35,-20,16,2023-24
430,17,1. FSV Mainz 05,21,1,9,11,16:35,16,35,-19,12,2023-24
431,18,SV Darmstadt 98,21,2,6,13,22:49,22,49,-27,12,2023-24
