Pl.,Unnamed: 1,Unnamed: 2,Team,Sp.,ss-u-n,U,N,Tore,Diff.,Punkte
1,,,Leverkusen Bayer 04 Leverkusen,10,9-1-0 9,1,0,30:10,20,28
2,,,Bayern (M) Bayern München (M),10,8-2-0 8,2,0,38:7,31,26
3,,,Stuttgart VfB Stuttgart,10,7-0-3 7,0,3,27:13,14,21
4,,,Dortmund Borussia Dortmund,10,6-3-1 6,3,1,20:15,5,21
5,,,Leipzig (P) RB Leipzig (P),10,6-2-2 6,2,2,25:9,16,20
6,,,Hoffenheim TSG Hoffenheim,10,6-0-4 6,0,4,22:19,3,18
7,,,Frankfurt Eintracht Frankfurt,10,4-5-1 4,5,1,15:9,6,17
8,,,Freiburg SC Freiburg,10,4-2-4 4,2,4,13:19,-6,14
9,,,Wolfsburg VfL Wolfsburg,10,4-1-5 4,1,5,15:16,-1,13
10,,,Augsburg FC Augsburg,10,3-3-4 3,3,4,19:22,-3,12
11,,,M'gladbach Bor. Mönchengladbach,10,2-4-4 2,4,4,19:23,-4,10
12,,,Bremen Werder Bremen,10,3-1-6 3,1,6,16:20,-4,10
13,,,Heidenheim (N) 1. FC Heidenheim (N),10,3-1-6 3,1,6,15:22,-7,10
14,,,Bochum VfL Bochum,10,1-5-4 1,5,4,10:24,-14,8
15,,,Darmstadt (N) SV Darmstadt 98 (N),10,2-1-7 2,1,7,14:32,-18,7
16,,,Union 1. FC Union Berlin,10,2-0-8 2,0,8,11:22,-11,6
17,,,Mainz 1. FSV Mainz 05,10,1-3-6 1,3,6,11:24,-13,6
18,,,Köln 1. FC Köln,10,1-2-7 1,2,7,8:22,-14,5
