,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10565,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19549025.0,19549025.0,False,,1,,,,2023-11-21T20:44:00.000Z,37167.10089958114,22837828233.807343,5.9748,0.31186775,-0.85312977,5.21025135,24.4122255,40.11861823,39.53620772,726580584663.4342,52.0196,780509118891.2,,2023-11-21T20:44:00.000Z,,,,,,2023-11-21 21:45:58.110336
1,1027,Ethereum,ETH,ethereum,7825,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120251000.41108546,120251000.41108546,True,,2,,,,2023-11-21T20:44:00.000Z,2003.340541665988,12842129583.266748,-2.1598,0.47682459,-1.51931898,1.12008778,22.13875416,25.93324083,18.61803398,240903704299.42087,17.2657,240903704299.42,,2023-11-21T20:44:00.000Z,,,,,,2023-11-21 21:45:58.110336
2,825,Tether USDt,USDT,tether,66137,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,88027089860.87794,90623279058.1096,True,,3,,,,2023-11-21T20:43:00.000Z,1.0003314578535298,45454589837.55544,10.471,0.00397733,-0.04836059,0.00644917,-0.01046233,0.02201472,0.04203088,88056267131.13571,6.3044,90653316855.67,,2023-11-21T20:43:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-21 21:45:58.110336
3,1839,BNB,BNB,bnb,1777,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151700178.7255253,151700178.7255253,False,,4,,,,2023-11-21T20:43:00.000Z,246.5500921024308,2282666586.444483,86.2946,1.51095767,-4.29283804,2.55761841,14.41589652,17.21346495,13.29673749,37401693036.73347,2.6778,37401693036.73,,2023-11-21T20:43:00.000Z,,,,,,2023-11-21 21:45:58.110336
4,52,XRP,XRP,xrp,1147,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53718306475.0,99988221902.0,False,,5,,,,2023-11-21T20:44:00.000Z,0.6009241320262233,1570275239.008251,40.0077,0.84032222,-2.91517027,-3.89707559,15.55227764,17.40820595,13.06419524,32280626692.408028,2.3111,60092413202.62,,2023-11-21T20:44:00.000Z,,,,,,2023-11-21 21:45:58.110336
5,3408,USDC,USDC,usd-coin,15052,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24451343272.413967,24451343272.413967,False,,6,,,,2023-11-21T20:44:00.000Z,1.0001664715425418,6289486436.847273,11.2463,0.01335302,0.02478336,0.00948155,0.01216431,-0.00914484,0.00354081,24455413725.245747,1.7527,24455413725.25,,2023-11-21T20:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-21 21:45:58.110336
6,5426,Solana,SOL,solana,551,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,422989675.9478968,562982947.1088054,True,,7,,,,2023-11-21T20:44:00.000Z,55.410290618355575,2292750635.8053746,19.5529,1.7796147,-3.1864059,-1.47634821,91.91846527,186.2505697,156.23996018,23437980872.837013,1.678,31195048712.48,,2023-11-21T20:44:00.000Z,,,,,,2023-11-21 21:45:58.110336
7,2010,Cardano,ADA,cardano,978,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35288467104.922,36365391092.904,False,,8,,,,2023-11-21T20:43:00.000Z,0.3740116001188467,426679082.2568355,9.678,1.0858356,-3.19867992,5.24264937,43.39663635,53.55632893,39.61183486,13198296047.653164,0.9449,16830522005.35,,2023-11-21T20:43:00.000Z,,,,,,2023-11-21 21:45:58.110336
8,74,Dogecoin,DOGE,dogecoin,828,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141924776383.70526,141924776383.70526,True,,9,,,,2023-11-21T20:44:00.000Z,0.0755700143507245,843203480.5350608,36.7461,0.96513646,-4.97101114,4.99373487,24.11933101,23.13741092,17.8082528,10725257388.039986,0.7658,10725257388.04,,2023-11-21T20:44:00.000Z,,,,,,2023-11-21 21:45:58.110336
9,1958,TRON,TRX,tron,870,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88609442291.26091,88609514985.60675,True,,10,71659659264.0,7007744136.719903,,2023-11-21T20:43:00.000Z,0.0977920382080356,315167174.78085893,26.2301,-0.30970855,-4.19736463,-4.50905961,8.50316836,17.52713318,26.04074175,8665297966.139717,0.621,8665305075.07,,2023-11-21T20:43:00.000Z,,,,,,2023-11-21 21:45:58.110336
